Pathway 1,Database 1,Relation,Pathway 2,Database 2
Formation of apoptosome,Reactome,Part Of,Apoptosis Modulation and Signaling,WikiPathways
Formation of ATP by chemiosmotic coupling,Reactome,Part Of,Oxidative phosphorylation,KEGG
Formation of ATP by chemiosmotic coupling,Reactome,Equivalent,Oxidative phosphorylation,WikiPathways
Formation of Fibrin Clot (Clotting Cascade),Reactome,Part Of,Complement and coagulation cascades,KEGG
Formation of Fibrin Clot (Clotting Cascade),Reactome,Part Of,Blood Clotting Cascade,WikiPathways
Formation of Fibrin Clot (Clotting Cascade),Reactome,Part Of,Complement and Coagulation Cascades,WikiPathways
Formation of xylulose-5-phosphate,Reactome,Part Of,Pentose and glucuronate interconversions,KEGG
Fructose biosynthesis,Reactome,Part Of,Fructose and mannose metabolism,KEGG
Fructose catabolism,Reactome,Part Of,Fructose and mannose metabolism,KEGG
Fructose metabolism,Reactome,Part Of,Carbon metabolism,KEGG
Fructose metabolism,Reactome,Part Of,Fructose and mannose metabolism,KEGG
G alpha (i) signalling events,Reactome,Part Of,Monoamine GPCRs,WikiPathways
G1/S DNA Damage Checkpoints,Reactome,Part Of,DNA Damage Response,WikiPathways
GABA A (rho) receptor activation,Reactome,Part Of,GABAergic synapse,KEGG
GABA A receptor activation,Reactome,Part Of,GABAergic synapse,KEGG
GABA A receptor activation,Reactome,Part Of,GABA receptor Signaling,WikiPathways
GABA B receptor activation,Reactome,Part Of,GABAergic synapse,KEGG
GABA receptor activation,Reactome,Part Of,GABAergic synapse,KEGG
GABA receptor activation,Reactome,Equivalent,GABA receptor Signaling,WikiPathways
GABA synthesis,Reactome,Part Of,Biogenic Amine Synthesis,WikiPathways
"GABA synthesis, release, reuptake and degradation",Reactome,Part Of,Biogenic Amine Synthesis,WikiPathways
"GABA synthesis, release, reuptake and degradation",Reactome,Part Of,Synaptic Vesicle Pathway,WikiPathways
Galactose catabolism,Reactome,Part Of,Galactose metabolism,KEGG
Gap junction assembly,Reactome,Part Of,Gap junction,KEGG
Gap junction degradation,Reactome,Part Of,Gap junction,KEGG
Gap junction trafficking,Reactome,Part Of,Gap junction,KEGG
Gap junction trafficking and regulation,Reactome,Part Of,Gap junction,KEGG
Gastrin-CREB signalling pathway via PKC and MAPK,Reactome,Part Of,MAPK signaling pathway,KEGG
Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,Reactome,Part Of,JAK-STAT signaling pathway,KEGG
GLI3 is processed to GLI3R by the proteasome,Reactome,Part Of,Proteasome,KEGG
Glucocorticoid biosynthesis,Reactome,Part Of,Cortisol synthesis and secretion,KEGG
Glucocorticoid biosynthesis,Reactome,Part Of,Steroid hormone biosynthesis,KEGG
Glucocorticoid biosynthesis,Reactome,Part Of,Glucocorticoid and Mineralcorticoid Metabolism,WikiPathways
Glucocorticoid biosynthesis,Reactome,Part Of,Steroid Biosynthesis,WikiPathways
Gluconeogenesis,Reactome,Part Of,Glycolysis / Gluconeogenesis,KEGG
Gluconeogenesis,Reactome,Part Of,Glycolysis and Gluconeogenesis,WikiPathways
Glucose metabolism,Reactome,Part Of,Carbon metabolism,KEGG
Glucuronidation,Reactome,Equivalent,Glucuronidation,WikiPathways
Glutamate Neurotransmitter Release Cycle,Reactome,Part Of,Glutamatergic synapse,KEGG
Glutathione conjugation,Reactome,Part Of,Glutathione metabolism,WikiPathways
Glycerophospholipid biosynthesis,Reactome,Part Of,Glycerophospholipid metabolism,KEGG
Glycerophospholipid biosynthesis,Reactome,Equivalent,Glycerophospholipid Biosynthetic Pathway,WikiPathways
Glycerophospholipid catabolism,Reactome,Part Of,Glycerolipid metabolism,KEGG
Glycerophospholipid catabolism,Reactome,Part Of,Glycerophospholipid metabolism,KEGG
Glycine degradation,Reactome,Part Of,"Glycine, serine and threonine metabolism",KEGG
Glycogen metabolism,Reactome,Part Of,Carbon metabolism,KEGG
Glycogen metabolism,Reactome,Equivalent,Glycogen Metabolism,WikiPathways
Glycolysis,Reactome,Part Of,Carbon metabolism,KEGG
Glycolysis,Reactome,Part Of,Glycolysis / Gluconeogenesis,KEGG
Glycolysis,Reactome,Part Of,Glycolysis and Gluconeogenesis,WikiPathways
Glycosaminoglycan metabolism,Reactome,Part Of,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,KEGG
Glyoxylate metabolism and glycine degradation,Reactome,Part Of,Glyoxylate and dicarboxylate metabolism,KEGG
GPCR ligand binding,Reactome,Part Of,Monoamine GPCRs,WikiPathways
GRB2 events in EGFR signaling,Reactome,Part Of,EGF/EGFR Signaling Pathway,WikiPathways
GRB2 events in EGFR signaling,Reactome,Part Of,ErbB Signaling Pathway,WikiPathways
GRB2 events in ERBB2 signaling,Reactome,Part Of,ErbB signaling pathway,KEGG
GRB2 events in ERBB2 signaling,Reactome,Part Of,ErbB Signaling Pathway,WikiPathways
GRB7 events in ERBB2 signaling,Reactome,Part Of,ErbB signaling pathway,KEGG
GRB7 events in ERBB2 signaling,Reactome,Part Of,ErbB Signaling Pathway,WikiPathways
HDL clearance,Reactome,Part Of,Cholesterol metabolism,KEGG
HDL remodeling,Reactome,Part Of,Cholesterol metabolism,KEGG
Hedgehog 'off' state,Reactome,Part Of,Hedgehog signaling pathway,KEGG
Hedgehog 'on' state,Reactome,Part Of,Hedgehog signaling pathway,KEGG
Hedgehog ligand biogenesis,Reactome,Part Of,Hedgehog signaling pathway,KEGG
Heme biosynthesis,Reactome,Part Of,Porphyrin and chlorophyll metabolism,KEGG
Heme biosynthesis,Reactome,Equivalent,Heme Biosynthesis,WikiPathways
Heme degradation,Reactome,Part Of,Porphyrin and chlorophyll metabolism,KEGG
Hemostasis,Reactome,Part Of,Complement and coagulation cascades,KEGG
Hemostasis,Reactome,Part Of,Complement and Coagulation Cascades,WikiPathways
Heparan sulfate/heparin (HS-GAG) metabolism,Reactome,Part Of,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,KEGG
Histidine catabolism,Reactome,Part Of,Histidine metabolism,KEGG
Homology Directed Repair,Reactome,Part Of,Homologous recombination,KEGG
Homology Directed Repair,Reactome,Part Of,Homologous recombination,WikiPathways
IL-6-type cytokine receptor ligand interactions,Reactome,Part Of,Cytokine-cytokine receptor interaction,KEGG
Immune System,Reactome,Part Of,Complement and Coagulation Cascades,WikiPathways
Influenza Infection,Reactome,Part Of,Influenza A,KEGG
Influenza Life Cycle,Reactome,Part Of,Influenza A,KEGG
Influenza Virus Induced Apoptosis,Reactome,Part Of,Influenza A,KEGG
Inhibition of Host mRNA Processing and RNA Silencing,Reactome,Part Of,mRNA surveillance pathway,KEGG
Inhibition of Signaling by Overexpressed EGFR,Reactome,Part Of,EGF/EGFR Signaling Pathway,WikiPathways
Inhibition of Signaling by Overexpressed EGFR,Reactome,Part Of,ErbB Signaling Pathway,WikiPathways
Initial triggering of complement,Reactome,Part Of,Complement Activation,WikiPathways
Inositol phosphate metabolism,Reactome,Part Of,Phosphatidylinositol signaling system,KEGG
Insulin receptor signalling cascade,Reactome,Part Of,Insulin signaling pathway,KEGG
Insulin receptor signalling cascade,Reactome,Part Of,Glucose Homeostasis,WikiPathways
Integrin alphaIIb beta3 signaling,Reactome,Part Of,Focal adhesion,KEGG
Integrin alphaIIb beta3 signaling,Reactome,Part Of,Integrin-mediated Cell Adhesion,WikiPathways
Integrin signaling,Reactome,Part Of,Focal adhesion,KEGG
Integrin signaling,Reactome,Part Of,Focal Adhesion,WikiPathways
Integrin signaling,Reactome,Part Of,Integrin-mediated Cell Adhesion,WikiPathways
Interferon gamma signaling,Reactome,Equivalent,Type II interferon signaling (IFNG),WikiPathways
Interleukin-1 family signaling,Reactome,Equivalent,IL-1 signaling pathway,WikiPathways
Interleukin-1 processing,Reactome,Part Of,Cytokines and Inflammatory Response,WikiPathways
Interleukin-15 signaling,Reactome,Part Of,JAK-STAT signaling pathway,KEGG
Interleukin-17 signaling,Reactome,Equivalent,IL17 signaling pathway,WikiPathways
Interleukin-2 signaling,Reactome,Equivalent,IL-2 Signaling Pathway,WikiPathways
Interleukin-21 signaling,Reactome,Part Of,JAK-STAT signaling pathway,KEGG
Interleukin-23 signaling,Reactome,Part Of,JAK-STAT signaling pathway,KEGG
Interleukin-4 and Interleukin-13 signaling,Reactome,Part Of,Cytokines and Inflammatory Response,WikiPathways
Interleukin-6 signaling,Reactome,Part Of,JAK-STAT signaling pathway,KEGG
Interleukin-6 signaling,Reactome,Equivalent,IL-6 signaling pathway,WikiPathways
Interleukin-7 signaling,Reactome,Equivalent,IL-7 Signaling Pathway,WikiPathways
Interleukin-9 signaling,Reactome,Part Of,JAK-STAT signaling pathway,KEGG
Interleukin-9 signaling,Reactome,Equivalent,IL-9 Signaling Pathway,WikiPathways
Intestinal absorption,Reactome,Part Of,Carbohydrate digestion and absorption,KEGG
Intestinal hexose absorption,Reactome,Part Of,Carbohydrate digestion and absorption,KEGG
Intestinal lipid absorption,Reactome,Part Of,Fat digestion and absorption,KEGG
Intestinal saccharidase deficiencies,Reactome,Part Of,Carbohydrate digestion and absorption,KEGG
Intrinsic Pathway of Fibrin Clot Formation,Reactome,Part Of,Complement and coagulation cascades,KEGG
Intrinsic Pathway of Fibrin Clot Formation,Reactome,Part Of,Complement and Coagulation Cascades,WikiPathways
Keratan sulfate biosynthesis,Reactome,Part Of,Glycosaminoglycan biosynthesis - keratan sulfate,KEGG
Ketone body metabolism,Reactome,Equivalent,Synthesis and Degradation of Ketone Bodies,WikiPathways
Laminin interactions,Reactome,Part Of,ECM-receptor interaction,KEGG
Laminin interactions,Reactome,Part Of,Focal adhesion,KEGG
Laminin interactions,Reactome,Part Of,Focal Adhesion,WikiPathways
LDL clearance,Reactome,Part Of,Cholesterol metabolism,KEGG
LDL remodeling,Reactome,Part Of,Cholesterol metabolism,KEGG
Lectin pathway of complement activation,Reactome,Part Of,Complement and Coagulation Cascades,WikiPathways
Linoleic acid (LA) metabolism,Reactome,Part Of,Biosynthesis of unsaturated fatty acids,KEGG
Localization of the PINCH-ILK-PARVIN complex to focal adhesions,Reactome,Part Of,Focal adhesion,KEGG
Loss of Function of SMAD4 in Cancer,Reactome,Part Of,Chromosomal and microsatellite instability in colorectal cancer,WikiPathways
Loss of Function of SMAD4 in Cancer,Reactome,Part Of,Integrated Cancer Pathway,WikiPathways
Lysosomal oligosaccharide catabolism,Reactome,Part Of,Lysosome,KEGG
Lysosome Vesicle Biogenesis,Reactome,Part Of,Lysosome,KEGG
MAP2K and MAPK activation,Reactome,Part Of,MAPK signaling pathway,KEGG
MAP3K8 (TPL2)-dependent MAPK1/3 activation,Reactome,Part Of,MAPK signaling pathway,KEGG
MAPK family signaling cascades,Reactome,Equivalent,MAPK Cascade,WikiPathways
MAPK family signaling cascades,Reactome,Equivalent,MAPK Signaling Pathway,WikiPathways
MAPK targets/ Nuclear events mediated by MAP kinases,Reactome,Part Of,MAPK signaling pathway,KEGG
MAPK1 (ERK2) activation,Reactome,Part Of,MAPK signaling pathway,KEGG
MAPK1/MAPK3 signaling,Reactome,Part Of,MAPK signaling pathway,KEGG
MAPK3 (ERK1) activation,Reactome,Part Of,MAPK signaling pathway,KEGG
MAPK6/MAPK4 signaling,Reactome,Part Of,MAPK signaling pathway,KEGG
Melanin biosynthesis,Reactome,Part Of,Melanogenesis,KEGG
MET activates RAS signaling,Reactome,Part Of,Ras signaling pathway,KEGG
Metabolism of amino acids and derivatives,Reactome,Equivalent,Amino Acid metabolism,WikiPathways
Metabolism of Angiotensinogen to Angiotensins,Reactome,Part Of,Renin-angiotensin system,KEGG
Metabolism of ingested H2SeO4 and H2SeO3 into H2Se,Reactome,Part Of,Selenium Metabolism and Selenoproteins,WikiPathways
Metabolism of ingested H2SeO4 and H2SeO3 into H2Se,Reactome,Part Of,Selenium Micronutrient Network,WikiPathways
Metabolism of ingested MeSeO2H into MeSeH,Reactome,Part Of,Selenium Metabolism and Selenoproteins,WikiPathways
"Metabolism of ingested SeMet, Sec, MeSec into H2Se",Reactome,Part Of,Selenium Metabolism and Selenoproteins,WikiPathways
Metabolism of lipids,Reactome,Equivalent,Lipid Metabolism Pathway,WikiPathways
Metabolism of non-coding RNA,Reactome,Part Of,mRNA Processing,WikiPathways
Metabolism of nucleotides,Reactome,Equivalent,Nucleotide Metabolism,WikiPathways
Metabolism of porphyrins,Reactome,Part Of,Porphyrin and chlorophyll metabolism,KEGG
Metabolism of proteins,Reactome,Part Of,Selenium Metabolism and Selenoproteins,WikiPathways
Metabolism of serotonin,Reactome,Part Of,Biogenic Amine Synthesis,WikiPathways
Metalloprotease DUBs,Reactome,Part Of,Matrix Metalloproteinases,WikiPathways
Methionine salvage pathway,Reactome,Equivalent,Methionine De Novo and Salvage Pathway,WikiPathways
Methionine salvage pathway,Reactome,Part Of,Methionine De Novo and Salvage Pathway,WikiPathways
Methylation,Reactome,Equivalent,Methylation Pathways,WikiPathways
MHC class II antigen presentation,Reactome,Part Of,Antigen processing and presentation,KEGG
MicroRNA (miRNA) biogenesis,Reactome,Equivalent,miRNA Biogenesis,WikiPathways
Mineralocorticoid biosynthesis,Reactome,Part Of,Cortisol synthesis and secretion,KEGG
Mineralocorticoid biosynthesis,Reactome,Part Of,Steroid hormone biosynthesis,KEGG
Mineralocorticoid biosynthesis,Reactome,Part Of,Glucocorticoid and Mineralcorticoid Metabolism,WikiPathways
Mineralocorticoid biosynthesis,Reactome,Part Of,Steroid Biosynthesis,WikiPathways
Mismatch Repair,Reactome,Equivalent,Mismatch repair,WikiPathways
Mitochondrial biogenesis,Reactome,Part Of,Energy Metabolism,WikiPathways
Mitochondrial biogenesis,Reactome,Part Of,Mitochondrial Gene Expression,WikiPathways
Mitochondrial Fatty Acid Beta-Oxidation,Reactome,Equivalent,Fatty Acid Beta Oxidation,WikiPathways
mitochondrial fatty acid beta-oxidation of saturated fatty acids,Reactome,Part Of,Fatty acid degradation,KEGG
mitochondrial fatty acid beta-oxidation of saturated fatty acids,Reactome,Part Of,Fatty Acid Beta Oxidation,WikiPathways
mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,Reactome,Part Of,Fatty acid degradation,KEGG
mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,Reactome,Part Of,Fatty Acid Beta Oxidation,WikiPathways
mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,Reactome,Part Of,Mitochondrial LC-Fatty Acid Beta-Oxidation,WikiPathways
Mitochondrial transcription initiation,Reactome,Part Of,Mitochondrial Gene Expression,WikiPathways
Mitochondrial transcription termination,Reactome,Part Of,Mitochondrial Gene Expression,WikiPathways
Mitochondrial tRNA aminoacylation,Reactome,Part Of,Aminoacyl-tRNA biosynthesis,KEGG
Molybdenum cofactor biosynthesis,Reactome,Part Of,Folate biosynthesis,KEGG
mRNA 3'-end processing,Reactome,Part Of,mRNA surveillance pathway,KEGG
mRNA 3'-end processing,Reactome,Part Of,mRNA Processing,WikiPathways
mRNA decay by 3' to 5' exoribonuclease,Reactome,Part Of,RNA degradation,KEGG
mRNA decay by 5' to 3' exoribonuclease,Reactome,Part Of,RNA degradation,KEGG
mRNA Splicing,Reactome,Part Of,mRNA surveillance pathway,KEGG
mRNA Splicing,Reactome,Part Of,mRNA Processing,WikiPathways
mRNA Splicing - Major Pathway,Reactome,Part Of,mRNA surveillance pathway,KEGG
mRNA Splicing - Major Pathway,Reactome,Part Of,mRNA Processing,WikiPathways
mRNA Splicing - Minor Pathway,Reactome,Part Of,mRNA Processing,WikiPathways
mTOR signalling,Reactome,Equivalent,Target Of Rapamycin (TOR) Signaling,WikiPathways
Muscarinic acetylcholine receptors,Reactome,Part Of,Cholinergic synapse,KEGG
Muscarinic acetylcholine receptors,Reactome,Part Of,Calcium Regulation in the Cardiac Cell,WikiPathways
MyD88 dependent cascade initiated on endosome,Reactome,Part Of,Simplified Depiction of MYD88 Distinct Input-Output Pathway,WikiPathways
Mal cascade initiated on plasma membrane,Reactome,Part Of,Simplified Depiction of MYD88 Distinct Input-Output Pathway,WikiPathways
N-Glycan antennae elongation,Reactome,Part Of,N-Glycan biosynthesis,KEGG
N-glycan antennae elongation in the medial/trans-Golgi,Reactome,Part Of,N-Glycan biosynthesis,KEGG
N-glycan trimming and elongation in the cis-Golgi,Reactome,Part Of,N-Glycan biosynthesis,KEGG
NADPH regeneration,Reactome,Part Of,Peroxisome,KEGG
Nef mediated downregulation of CD28 cell surface expression,Reactome,Part Of,T cell receptor signaling pathway,KEGG
Negative feedback regulation of MAPK pathway,Reactome,Part Of,MAPK signaling pathway,KEGG
Negative regulation of MAPK pathway,Reactome,Part Of,MAPK signaling pathway,KEGG
Neurofascin interactions,Reactome,Part Of,Cell adhesion molecules (CAMs),KEGG
Neurotransmitter uptake and metabolism In glial cells,Reactome,Part Of,Glutamatergic synapse,KEGG
NF-kB is activated and signals survival,Reactome,Part Of,NF-kappa B signaling pathway,KEGG
NFG and proNGF binds to p75NTR,Reactome,Part Of,Neurotrophin signaling pathway,KEGG
Nicotinamide salvaging,Reactome,Part Of,Nicotinate and nicotinamide metabolism,KEGG
Nicotinate metabolism,Reactome,Part Of,Nicotinate and nicotinamide metabolism,KEGG
Nitric oxide stimulates guanylate cyclase,Reactome,Part Of,Effects of Nitric Oxide,WikiPathways
Non-integrin membrane-ECM interactions,Reactome,Part Of,Focal adhesion,KEGG
Nonhomologous End-Joining (NHEJ),Reactome,Equivalent,Non-homologous end joining,WikiPathways
Norepinephrine Neurotransmitter Release Cycle,Reactome,Part Of,Synaptic Vesicle Pathway,WikiPathways
Notch-HLH transcription pathway,Reactome,Part Of,Canonical  and Non-canonical Notch signaling,WikiPathways
NOTCH2 Activation and Transmission of Signal to the Nucleus,Reactome,Part Of,Canonical  and Non-canonical Notch signaling,WikiPathways
NOTCH3 Activation and Transmission of Signal to the Nucleus,Reactome,Part Of,Canonical  and Non-canonical Notch signaling,WikiPathways
NOTCH3 Intracellular Domain Regulates Transcription,Reactome,Part Of,Canonical  and Non-canonical Notch signaling,WikiPathways
Nuclear Receptor transcription pathway,Reactome,Part Of,Nuclear Receptors,WikiPathways
Nuclear signaling by ERBB4,Reactome,Part Of,ErbB signaling pathway,KEGG
O-linked glycosylation,Reactome,Part Of,Mannose type O-glycan biosynthesis,KEGG
Oxidative Stress Induced Senescence,Reactome,Part Of,Oxidative Stress,WikiPathways
p130Cas linkage to MAPK signaling for integrins,Reactome,Part Of,MAPK signaling pathway,KEGG
p38MAPK events,Reactome,Part Of,MAPK signaling pathway,KEGG
p38MAPK events,Reactome,Part Of,RAC1/PAK1/p38/MMP2 Pathway,WikiPathways
p38MAPK events,Reactome,Equivalent,p38 MAPK Signaling Pathway,WikiPathways
p53-Dependent G1 DNA Damage Response,Reactome,Part Of,DNA Damage Response,WikiPathways
p53-Independent DNA Damage Response,Reactome,Part Of,DNA Damage Response,WikiPathways
Pentose phosphate pathway,Reactome,Equivalent,Pentose Phosphate Pathway,WikiPathways
Peroxisomal lipid metabolism,Reactome,Part Of,Peroxisome,KEGG
Phenylalanine and tyrosine catabolism,Reactome,Part Of,Biosynthesis of amino acids,KEGG
Phenylalanine and tyrosine catabolism,Reactome,Part Of,"Phenylalanine, tyrosine and tryptophan biosynthesis",KEGG
Phenylalanine and tyrosine catabolism,Reactome,Part Of,Tyrosine metabolism,KEGG
phospho-PLA2 pathway,Reactome,Part Of,Fc epsilon RI signaling pathway,KEGG
Phospholipid metabolism,Reactome,Part Of,Ether lipid metabolism,KEGG
Cdk2 complexes,Reactome,Part Of,G1 to S cell cycle control,WikiPathways
PI3K events in ERBB2 signaling,Reactome,Part Of,ErbB signaling pathway,KEGG
PI3K events in ERBB2 signaling,Reactome,Part Of,ErbB Signaling Pathway,WikiPathways
PI3K events in ERBB4 signaling,Reactome,Part Of,ErbB signaling pathway,KEGG
PI3K events in ERBB4 signaling,Reactome,Part Of,ErbB Signaling Pathway,WikiPathways
PI3K/AKT activation,Reactome,Equivalent,PI3K-Akt Signaling Pathway,WikiPathways
PIP3 activates AKT signaling,Reactome,Part Of,PI3K-AKT-mTOR signaling pathway and therapeutic opportunities,WikiPathways
PKMTs methylate histone lysines,Reactome,Part Of,Histone Modifications,WikiPathways
Plasma lipoprotein assembly,Reactome,Part Of,Cholesterol metabolism,KEGG
Plasma lipoprotein clearance,Reactome,Part Of,Cholesterol metabolism,KEGG
"Platelet activation, signaling and aggregation",Reactome,Part Of,Complement and Coagulation Cascades,WikiPathways
Platelet Adhesion to exposed collagen,Reactome,Part Of,Platelet activation,KEGG
Platelet calcium homeostasis,Reactome,Part Of,Calcium signaling pathway,KEGG
PLCG1 events in ERBB2 signaling,Reactome,Part Of,ErbB signaling pathway,KEGG
PLCG1 events in ERBB2 signaling,Reactome,Part Of,EGF/EGFR Signaling Pathway,WikiPathways
PLCG1 events in ERBB2 signaling,Reactome,Part Of,ErbB Signaling Pathway,WikiPathways
synthesis of GPI-anchored proteins,Reactome,Part Of,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,KEGG
"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation",Reactome,Part Of,Signaling pathways regulating pluripotency of stem cells,KEGG
Pre-NOTCH Processing in the Endoplasmic Reticulum,Reactome,Part Of,Protein processing in endoplasmic reticulum,KEGG
Pre-NOTCH Processing in the Endoplasmic Reticulum,Reactome,Part Of,Canonical  and Non-canonical Notch signaling,WikiPathways
Presynaptic function of Kainate receptors,Reactome,Part Of,Glutamatergic synapse,KEGG
Processing of Capped Intron-Containing Pre-mRNA,Reactome,Part Of,mRNA surveillance pathway,KEGG
Processing of Capped Intron-Containing Pre-mRNA,Reactome,Part Of,mRNA Processing,WikiPathways
Processing of Capped Intronless Pre-mRNA,Reactome,Part Of,mRNA surveillance pathway,KEGG
Processing of Capped Intronless Pre-mRNA,Reactome,Part Of,mRNA Processing,WikiPathways
Processing of Intronless Pre-mRNAs,Reactome,Part Of,mRNA surveillance pathway,KEGG
Processing of Intronless Pre-mRNAs,Reactome,Part Of,mRNA Processing,WikiPathways
Prolactin receptor signaling,Reactome,Equivalent,Prolactin Signaling Pathway,WikiPathways
Proline catabolism,Reactome,Part Of,Arginine and proline metabolism,KEGG
Propionyl-CoA catabolism,Reactome,Part Of,Propanoate metabolism,KEGG
Prostanoid ligand receptors,Reactome,Part Of,Prostaglandin Synthesis and Regulation,WikiPathways
PTEN Loss of Function in Cancer,Reactome,Part Of,Integrated Cancer Pathway,WikiPathways
Purine catabolism,Reactome,Part Of,Purine metabolism,KEGG
Purine ribonucleoside monophosphate biosynthesis,Reactome,Part Of,Purine metabolism,KEGG
Purine salvage,Reactome,Part Of,Purine metabolism,KEGG
Pyrimidine biosynthesis,Reactome,Part Of,Pyrimidine metabolism,KEGG
Pyrimidine biosynthesis,Reactome,Part Of,Pyrimidine metabolism,WikiPathways
Pyrimidine catabolism,Reactome,Part Of,Pyrimidine metabolism,KEGG
Pyrimidine catabolism,Reactome,Part Of,Pyrimidine metabolism,WikiPathways
Pyrimidine salvage,Reactome,Part Of,Pyrimidine metabolism,KEGG
Pyrimidine salvage,Reactome,Part Of,Pyrimidine metabolism,WikiPathways
Pyrophosphate hydrolysis,Reactome,Part Of,Oxidative phosphorylation,KEGG
Pyruvate metabolism and Citric Acid (TCA) cycle,Reactome,Part Of,2-Oxocarboxylic acid metabolism,KEGG
Pyruvate metabolism and Citric Acid (TCA) cycle,Reactome,Part Of,Carbon metabolism,KEGG
RA biosynthesis pathway,Reactome,Part Of,Vitamin A and Carotenoid Metabolism,WikiPathways
RAF-independent MAPK1/3 activation,Reactome,Part Of,MAPK signaling pathway,KEGG
Ras activation upon Ca2+ influx through NMDA receptor,Reactome,Part Of,Ras signaling pathway,KEGG
RAS signaling downstream of NF1 loss-of-function variants,Reactome,Part Of,Ras signaling pathway,KEGG
Reduction of cytosolic Ca++ levels,Reactome,Part Of,Calcium signaling pathway,KEGG
Regulation of activated PAK-2p34 by proteasome mediated degradation,Reactome,Part Of,Proteasome,KEGG
Regulation of cholesterol biosynthesis by SREBP (SREBF),Reactome,Part Of,Liver X Receptor Pathway,WikiPathways
Regulation of cholesterol biosynthesis by SREBP (SREBF),Reactome,Part Of,SREBF and miR33 in cholesterol and lipid homeostasis,WikiPathways
Regulation of cholesterol biosynthesis by SREBP (SREBF),Reactome,Part Of,Sterol Regulatory Element-Binding Proteins (SREBP) signalling,WikiPathways
Regulation of Complement cascade,Reactome,Part Of,Complement and coagulation cascades,KEGG
Regulation of Complement cascade,Reactome,Part Of,Complement Activation,WikiPathways
Regulation of Complement cascade,Reactome,Part Of,Complement and Coagulation Cascades,WikiPathways
Regulation of gap junction activity,Reactome,Part Of,Gap junction,KEGG
Regulation of IFNG signaling,Reactome,Part Of,JAK-STAT signaling pathway,KEGG
Regulation of insulin secretion,Reactome,Part Of,Glucose Homeostasis,WikiPathways
Regulation of KIT signaling,Reactome,Part Of,Kit receptor signaling pathway,WikiPathways
Regulation of RAS by GAPs,Reactome,Part Of,Ras signaling pathway,KEGG
Regulation of thyroid hormone activity,Reactome,Part Of,Thyroid hormone signaling pathway,KEGG
Regulation of TP53 Activity through Methylation,Reactome,Part Of,p53 signaling pathway,KEGG
Regulation of TP53 Degradation,Reactome,Part Of,p53 signaling pathway,KEGG
Regulation of TP53 Expression,Reactome,Part Of,p53 signaling pathway,KEGG
Regulation of TP53 Expression and Degradation,Reactome,Part Of,p53 signaling pathway,KEGG
Relaxin receptors,Reactome,Part Of,Relaxin signaling pathway,KEGG
Release of apoptotic factors from the mitochondria,Reactome,Part Of,Apoptosis Modulation and Signaling,WikiPathways
Respiratory electron transport,Reactome,Equivalent,Electron Transport Chain,WikiPathways
Reuptake of GABA,Reactome,Part Of,GABA receptor Signaling,WikiPathways
Rev-mediated nuclear export of HIV RNA,Reactome,Part Of,RNA transport,KEGG
RNA Pol II CTD phosphorylation and interaction with CE,Reactome,Part Of,Basal transcription factors,KEGG
RNA Pol II CTD phosphorylation and interaction with CE during HIV infection,Reactome,Part Of,Basal transcription factors,KEGG
RNA Polymerase I Promoter Escape,Reactome,Part Of,Basal transcription factors,KEGG
RNA Polymerase I Transcription Termination,Reactome,Part Of,Basal transcription factors,KEGG
RNA Polymerase II HIV Promoter Escape,Reactome,Part Of,Basal transcription factors,KEGG
RNA Polymerase II Pre-transcription Events,Reactome,Part Of,Basal transcription factors,KEGG
RNA Polymerase II Promoter Escape,Reactome,Part Of,Basal transcription factors,KEGG
RNA polymerase II transcribes snRNA genes,Reactome,Part Of,Basal transcription factors,KEGG
RNA Polymerase II Transcription,Reactome,Part Of,Basal transcription factors,KEGG
RNA Polymerase II Transcription Initiation,Reactome,Part Of,Basal transcription factors,KEGG
RNA Polymerase II Transcription Initiation And Promoter Clearance,Reactome,Part Of,Basal transcription factors,KEGG
RNA Polymerase II Transcription Pre-Initiation And Promoter Opening,Reactome,Part Of,Basal transcription factors,KEGG
rRNA modification in the nucleus and cytosol,Reactome,Part Of,Ribosome biogenesis in eukaryotes,KEGG
rRNA processing,Reactome,Part Of,Ribosome biogenesis in eukaryotes,KEGG
rRNA processing in the nucleus and cytosol,Reactome,Part Of,Ribosome biogenesis in eukaryotes,KEGG
RUNX1 regulates expression of components of tight junctions,Reactome,Part Of,Tight junction,KEGG
RUNX2 regulates chondrocyte maturation,Reactome,Part Of,Endochondral Ossification,WikiPathways
RUNX3 regulates NOTCH signaling,Reactome,Part Of,Canonical  and Non-canonical Notch signaling,WikiPathways
RUNX3 regulates WNT signaling,Reactome,Part Of,Wnt signaling pathway,KEGG
Selenoamino acid metabolism,Reactome,Part Of,Selenocompound metabolism,KEGG
Selenoamino acid metabolism,Reactome,Part Of,Selenium Metabolism and Selenoproteins,WikiPathways
Serotonin and melatonin biosynthesis,Reactome,Part Of,Biogenic Amine Synthesis,WikiPathways
